epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,395.302,0.91916,0.56748,0.93596,0.86538,0.85263,0.86089,0.59845,1.11162,0.64403,1.08918,0.000713,0.000713,0.000713
67,403.294,0.92604,0.58918,0.94238,0.90074,0.81192,0.85599,0.60959,1.08763,0.64653,1.08405,0.0006932,0.0006932,0.0006932
68,411.74,0.91125,0.58172,0.94818,0.85821,0.84211,0.84778,0.59388,1.0943,0.64689,1.07307,0.0006734,0.0006734,0.0006734
69,418.129,0.90791,0.57374,0.93614,0.88733,0.82632,0.86174,0.61793,1.05234,0.64146,1.03007,0.0006536,0.0006536,0.0006536
70,425.82,0.90667,0.5483,0.9324,0.87398,0.83952,0.86569,0.60615,1.08042,0.63982,1.0458,0.0006338,0.0006338,0.0006338
71,437.899,0.91906,0.58018,0.94362,0.86017,0.84179,0.86074,0.59853,1.07457,0.63029,1.0401,0.000614,0.000614,0.000614
72,449.41,0.89904,0.56097,0.93139,0.89468,0.80475,0.85588,0.59099,1.09701,0.63754,1.06965,0.0005942,0.0005942,0.0005942
73,457.17,0.90195,0.57956,0.93871,0.83447,0.84907,0.85184,0.58379,1.11381,0.65571,1.0575,0.0005744,0.0005744,0.0005744
74,464.993,0.9469,0.60011,0.94817,0.91078,0.78421,0.85371,0.59272,1.10088,0.62633,1.06745,0.0005546,0.0005546,0.0005546
75,471.29,0.89774,0.56414,0.92362,0.92239,0.77368,0.85522,0.59141,1.11578,0.63465,1.09242,0.0005348,0.0005348,0.0005348
76,479.233,0.89254,0.5508,0.91753,0.87399,0.79474,0.84321,0.58548,1.11814,0.64599,1.10341,0.000515,0.000515,0.000515
77,487.437,0.8887,0.58379,0.93796,0.88121,0.78421,0.84275,0.56854,1.15615,0.67203,1.09427,0.0004952,0.0004952,0.0004952
78,495.098,0.88098,0.53965,0.91842,0.90018,0.80526,0.85808,0.60972,1.09374,0.64942,1.08106,0.0004754,0.0004754,0.0004754
79,500.938,0.86714,0.54384,0.91562,0.92996,0.76842,0.85647,0.61122,1.09296,0.63174,1.07061,0.0004556,0.0004556,0.0004556
80,506.769,0.8075,0.52595,0.90493,0.84278,0.84643,0.85692,0.61174,1.07885,0.62969,1.04159,0.0004358,0.0004358,0.0004358
81,512.603,0.83941,0.53321,0.90323,0.92562,0.78595,0.85634,0.62094,1.09483,0.61231,1.05599,0.000416,0.000416,0.000416
82,518.372,0.85765,0.52622,0.909,0.85543,0.83158,0.85616,0.615,1.09937,0.62112,1.06598,0.0003962,0.0003962,0.0003962
83,524.059,0.83988,0.5343,0.91845,0.8508,0.84211,0.85228,0.6038,1.14404,0.6421,1.09537,0.0003764,0.0003764,0.0003764
84,529.78,0.83189,0.51541,0.90038,0.85154,0.84737,0.85353,0.62562,1.108,0.61602,1.09771,0.0003566,0.0003566,0.0003566
85,535.586,0.85746,0.53582,0.90538,0.88092,0.82632,0.86015,0.61092,1.11059,0.62457,1.10023,0.0003368,0.0003368,0.0003368
86,541.608,0.81967,0.51713,0.91525,0.87478,0.83684,0.85456,0.61686,1.08513,0.60565,1.07915,0.000317,0.000317,0.000317
87,547.421,0.83623,0.53534,0.92882,0.87163,0.85789,0.85746,0.61403,1.10432,0.62817,1.08132,0.0002972,0.0002972,0.0002972
88,553.097,0.82853,0.51373,0.91171,0.85699,0.85263,0.85726,0.6073,1.1033,0.62185,1.0812,0.0002774,0.0002774,0.0002774
89,558.773,0.83556,0.49906,0.91795,0.86873,0.85789,0.85543,0.5953,1.12118,0.62762,1.0921,0.0002576,0.0002576,0.0002576
90,564.574,0.83674,0.50491,0.90322,0.83882,0.84909,0.85793,0.61277,1.11727,0.63253,1.07721,0.0002378,0.0002378,0.0002378
91,572.667,0.87427,0.56651,0.91669,0.90055,0.81023,0.855,0.60778,1.1021,0.6296,1.09029,0.000218,0.000218,0.000218
92,578.404,0.82045,0.54825,0.91944,0.88048,0.82105,0.85214,0.59783,1.11047,0.63154,1.0998,0.0001982,0.0001982,0.0001982
93,584.146,0.83323,0.54371,0.9228,0.87714,0.82105,0.85009,0.60068,1.10759,0.63472,1.09198,0.0001784,0.0001784,0.0001784
94,589.921,0.80004,0.53229,0.91181,0.86311,0.83158,0.84915,0.59961,1.09096,0.62883,1.08407,0.0001586,0.0001586,0.0001586
95,596.007,0.81752,0.5435,0.92296,0.87345,0.83552,0.85108,0.5987,1.09461,0.62996,1.0798,0.0001388,0.0001388,0.0001388
96,601.756,0.81489,0.52301,0.91429,0.86485,0.84197,0.84499,0.59628,1.09538,0.63215,1.08104,0.000119,0.000119,0.000119
97,607.424,0.8231,0.5167,0.91853,0.85611,0.85789,0.84597,0.59336,1.08368,0.62701,1.07241,9.92e-05,9.92e-05,9.92e-05
98,613.079,0.79372,0.49616,0.91069,0.85911,0.84737,0.84623,0.58997,1.08293,0.62447,1.06661,7.94e-05,7.94e-05,7.94e-05
99,618.865,0.79917,0.52736,0.92472,0.8443,0.85618,0.84234,0.59678,1.07899,0.61862,1.06557,5.96e-05,5.96e-05,5.96e-05
100,624.591,0.7826,0.51193,0.90771,0.86875,0.83607,0.84471,0.59048,1.0851,0.61948,1.06687,3.98e-05,3.98e-05,3.98e-05
